setor;maquina;disponibilidade_historico_media
Corte e estamparia;ES-CA-01 - CALANDRA - LENZI 0460;100,00%
Corte e estamparia;ES-CA-02 - CALANDRA - 0461;100,00%
Corte e estamparia;ES-PL-01 - PLASMA 01 - WHITE MARTINS 0451;99,56%
Corte e estamparia;ES-PL-02 - PLASMA 02 - WHITE MARTINS 0452;97,41%
Corte e estamparia;ES-PE-01 - PRENSA EXCÉNTRICA - ATLANTICA 0489;95,23%
Corte e estamparia;ES-PE-02 - PRENSA EXCÉNTRICA PRK 130TON - 0491;99,48%
Corte e estamparia;ES-PE-03 - PRENSA EXCÉNTRICA - ATLANTICA 0493;99,38%
Corte e estamparia;ES-PH-01 - PRENSA HIDRÁULICA ENGOMAR - EKA 0553;100,00%
Corte e estamparia;ES-VI-01 - VIRADEIRA 4 mt chinesa WC67K-160/4000 - 0560;100,00%
Corte e estamparia;ES-VI-02 - VIRADEIRA 4 mt himeca - 0557;100,00%
Corte e estamparia;ES-VI-03 - VIRADEIRA 3 mt himeca - HIMECA 0498;99,21%
Corte e estamparia;ES-VI-04 - VIRADEIRA 5 mt chinesa WE67K-250/5000 - 0555;99,84%
Corte e estamparia;ES-VI-05 - VIRADEIRA 3 mt trumpf - TRUMPF 0500;99,52%
Corte e estamparia;ES-LA-01 - LASER WELLE - 0875;97,78%
Corte e estamparia;ES-MO-01 - MONOVIA DO LASER;99,89%
Corte e estamparia;ES-DE-01 - DESBOBINADOR - 1269;99,27%
Corte e estamparia;ES-LC-01 - LEVANTADOR DE CHAPA (MICROLIFT) - 1207;99,92%
Corte e estamparia;ES-DO-01 - DOBRADORA DE EXTREMIDADES;100,00%
Corte e estamparia;ES-TA-01 - TAMBOREADOR;100,00%
Corte e estamparia;ES-RE-01 - REBORDEADEIRA - 1384;99,80%
Pintura;PI-CL-01 - CABINE DE LIMPEZA - DELTEC 0084;97,10%
Pintura;PI-CP-01 - CABINE DE PINTURA - DELTEC 0106;98,02%
Pintura;PI-CC-01 - CABINE DE CURA - DELTEC 0100;98,37%
Pintura;PI-CS-01 - CABINE DE SECAGEM - DELTEC 0085;99,62%
Pintura;PI-SE-01 - SISTEMA ELETROSTÁTICO 01 - EMBRASER 0110/0109/0108;100,00%
Pintura;PI-SE-02 - SISTEMA ELETROSTÁTICO 02 - EMBRASER 0096/0098;100,00%
Pintura;PI-TR-01 - TRANSPORTADOR - DELTEC 0099;99,93%
Pintura;PI-PU-01 - SISTEMA TEMAC - TEMAC 0107;100,00%
Pintura;PI-EG-01 - ESTUFA DE GÁS - ERZINGER;100,00%
Pintura;PI-TA-01 - TRANSPORTADOR AÉREO - ERZINGER;99,94%
Pintura;PI-SP-01 - SPRAY - ERZINGER;99,82%
Pintura;PI-CP-02 - CABINE DE PINTURA - ERZINGER;99,90%
Pintura;PI-BL-01 - BOMBA DE LAVAGEM - DELTEC 1201;99,40%
Pintura;PI-MO-01 - MONOVIA ENTRADA DA DELTEC 1 TON;99,66%
Pintura;PI-MO-02 - MONOVIA SAÍDA DA CABINE DE CURA DELTEC 0,5 TON;99,20%
Pintura;PI-MO-03 - MONOVIA ENTRE CABINE DE CURA E CABINE DE SECAGEM 01 0,5 TON;99,93%
Pintura;PI-MO-04 - MONOVIA ENTRE CABINE DE CURA E CABINE DE SECAGEM 02 0,5 TON;100,00%
Usinagem;US-PH-01 - PRENSA HIDRÁULICA CUBO - EKA 0406;100,00%
Usinagem;US-CU-01 - CENTRO DE USINAGEM - PAN MACHINE 0403;95,82%
Usinagem;US-FC-01 - FURADEIRA DE COLUNA - NEWTON 0290;100,00%
Usinagem;US-FC-02 - FURADEIRA DE COLUNA - SANCHES BLANES 0291;100,00%
Usinagem;US-FC-03 - FURADEIRA DE COLUNA - 0416;99,93%
Usinagem;US-FC-04 - FURADEIRA DE COLUNA - 0419;100,00%
Usinagem;US-FC-05 - FURADEIRA DE COLUNA 2UB - 0418;100,00%
Usinagem;US-FC-06 - FURADEIRA DE COLUNA - SA YADOYA 0408;99,68%
Usinagem;US-SE-03 - SERRA - STARRET 0295;99,72%
Usinagem;US-SE-04 - SERRA - MEP 0296;99,38%
Usinagem;US-TC-01 - TORNO CNC - TRAVIS 0293;95,66%
Usinagem;US-TC-02 - TORNO CNC - TRAVIS 0292;89,20%
Usinagem;US-TM-01 - TORNO MECÂNICO - ROMI 0429;100,00%
Usinagem;US-TM-02 - TORNO MECÂNICO - ROMI;99,84%
Usinagem;US-ES-01 - ESMERIL - 0412;100,00%
Solda;SO-MS-01 - MÁQUINA DE SOLDA - 0269;100,00%
Solda;SO-MS-02 - MÁQUINA DE SOLDA - 0988;100,00%
Solda;SO-MS-03 - MÁQUINA DE SOLDA - 0056;100,00%
Solda;SO-MS-04 - MÁQUINA DE SOLDA - STAR MIG 0055;100,00%
Solda;SO-MS-05 - MÁQUINA DE SOLDA - 0436;99,82%
Solda;SO-MS-06 - MÁQUINA DE SOLDA - 0582;100,00%
Solda;SO-MS-07 - MÁQUINA DE SOLDA - 0845;99,75%
Solda;SO-MS-08 - MÁQUINA DE SOLDA - WHITE MARTINS 0540;99,88%
Solda;SO-MS-09 - MÁQUINA DE SOLDA - STAR MIG 0430;100,00%
Solda;SO-MS-10 - MÁQUINA DE SOLDA - WHITE MARTINS 0523;99,88%
Solda;SO-MS-11 - MÁQUINA DE SOLDA - WHITE MARTINS 0832;99,96%
Solda;SO-MS-12 - MÁQUINA DE SOLDA - WHITE MARTINS 0522;100,00%
Solda;SO-MS-13 - MÁQUINA DE SOLDA - WHITE MARTINS 0831;99,98%
Solda;SO-MS-14 - MÁQUINA DE SOLDA - 0957;90,38%
Solda;SO-MS-15 - MÁQUINA DE SOLDA - WHITE MARTINS 0825;99,89%
Solda;SO-MS-16 - MÁQUINA DE SOLDA - WHITE MARTINS 0801;100,00%
Solda;SO-MS-17 - MÁQUINA DE SOLDA - ESAB 0620;99,95%
Solda;SO-MS-18 - MÁQUINA DE SOLDA - ESAB 0808;100,00%
Solda;SO-MS-19 - MÁQUINA DE SOLDA - ESAB 0603;99,89%
Solda;SO-MS-20 - MÁQUINA DE SOLDA - ESAB 0747;99,92%
Solda;SO-MS-21 - MÁQUINA DE SOLDA - 0738;99,14%
Solda;SO-MS-22 - MÁQUINA DE SOLDA - 0737;99,85%
Solda;SO-MS-23 - MÁQUINA DE SOLDA - ESAB 0836;100,00%
Solda;SO-MS-24 - MÁQUINA DE SOLDA - ESAB 0823;99,87%
Solda;SO-MS-25 - MÁQUINA DE SOLDA - WHITE MARTINS 0736;99,95%
Solda;SO-MS-26 - MÁQUINA DE SOLDA - 0724;99,90%
Solda;SO-MS-27 - MÁQUINA DE SOLDA - 0602;100,00%
Solda;SO-MS-28 - MÁQUINA DE SOLDA - 0958;98,63%
Solda;SO-MS-29 - MÁQUINA DE SOLDA - 0611;100,00%
Solda;SO-MS-30 - MÁQUINA DE SOLDA - 0824;99,92%
Solda;SO-MS-31 - MÁQUINA DE SOLDA - ESAB 0725;99,84%
Solda;SO-PH-01 - PRENSA HIDRÁULICA - 0527;100,00%
Solda;SO-MG-01 - MISTURADOR DE GÁS;100,00%
Solda;SO-RB-01 - ROBÔ - KUKA;100,00%
Solda;SO-MO-01 - MONOVIA - LATERAIS 0,25 TON;100,00%
Solda;SO-MO-02 - MONOVIA - MONTAGEM EIXOS 0,25 TON;100,00%
Solda;SO-MO-03 - MONOVIA - MONTAGEM DE CHASSI 02 EIXOS 0,5 TON - 0926;100,00%
Solda;SO-MO-04 - MONOVIA - MONTAGEM PLATAFORMA F 1 TON;99,82%
Solda;SO-MO-05 - MONOVIA - SOLDA CHASSI PÓS ROBO;100,00%
Solda;SO-MO-06 - MONOVIA - ROBÔ 0,6 TON;100,00%
Solda;SO-MO-07 - MONOVIA - CHASSI PRÉ ROBÔ 0,25 TON;100,00%
Solda;SO-MO-08 - MONOVIA - PLATAFORMAS/CAÇAMBAS 1 TON;99,97%
Solda;SO-MO-09 - MONOVIA - TANQUES 0,5 TON;100,00%
Solda;SO-MO-10 - MONOVIA COLUNAS - TANQUES;100,00%
Solda;SO-MO-11 - MONOVIA - MONTAGEM DE LATERAIS;100,00%
Solda;SO-MO-12 - MONOVIA - SOLDA DE LATERAIS;100,00%
Equipamentos de movimentação;EM-PO-01 - PONTE GH 16 TON DESCARGA MP - 0580;99,73%
Equipamentos de movimentação;EM-PO-02 - PONTE 5 TON ESTAMPARIA - 0581;100,00%
Equipamentos de movimentação;EM-PO-03 - PONTE 3 TON PROTÓTIPOS - 0924;99,19%
Equipamentos de movimentação;EM-PO-04 - PONTE GH 5 TON EXPEDIÇÃO - 0925;100,00%
Equipamentos de movimentação;"EM-PO-05 - PONTE 6 TON ESTAMPARIA; SOLDA; PINTURA; EXPEDIÇÃO - 0999";98,37%
Equipamentos de movimentação;EM-PO-06 - PONTE 4 TON SOLDA - 1291;94,22%
Equipamentos de movimentação;EM-PO-07 - PONTE 4 TON USINAGEM E ERZINGER - 0949;96,78%
Equipamentos de movimentação;EM-EM-01 - EMPILHADEIRA - CLARK 0942;100,00%
Equipamentos de movimentação;EM-EM-02 - EMPILHADEIRA - TOYOTA 0944;99,82%
Equipamentos de movimentação;EM-PA-01 - PALETEIRA - STILL GRANDE 0478;100,00%
Equipamentos de movimentação;EM-PA-02 - PALETEIRA - TOYOTA 0479;99,93%
Equipamentos de movimentação;EM-PA-03 - PALETEIRA - TOYOTA 0480;98,73%
Utilidades;UT-CO-01 - COMPRESSOR - SCHULZ SRP 4030 - 0760;97,59%
Utilidades;UT-CO-02 - COMPRESSOR - SCHULZ MCSV 20/150;100,00%
Utilidades;UT-CO-03 - COMPRESSOR SCHULZ SRP 4040 - LASER - 0851;97,93%
Utilidades;UT-SE-01 - SUBESTAÇÃO ELÉTRICA;100,00%
